Month,Expense_Category,Expense_Type,Amount
2023-01,Payroll,Variable,40000
2023-01,Rent,Fixed,10000
2023-01,Marketing,Variable,5000
2023-01,Software,Fixed,1000
2023-01,Utilities,Variable,1500
2023-02,Payroll,Variable,44000
2023-02,Rent,Fixed,10000
2023-02,Marketing,Variable,5500
2023-02,Software,Fixed,1000
2023-02,Utilities,Variable,1600
2023-03,Payroll,Variable,48000
2023-03,Rent,Fixed,10000
2023-03,Marketing,Variable,6000
2023-03,Software,Fixed,1000
2023-03,Utilities,Variable,1700
2023-04,Payroll,Variable,52000
2023-04,Rent,Fixed,10000
2023-04,Marketing,Variable,6500
2023-04,Software,Fixed,1000
2023-04,Utilities,Variable,1800
2023-05,Payroll,Variable,64000
2023-05,Rent,Fixed,10000
2023-05,Marketing,Variable,7000
2023-05,Software,Fixed,1000
2023-05,Utilities,Variable,1900
2023-06,Payroll,Variable,76000
2023-06,Rent,Fixed,10000
2023-06,Marketing,Variable,7500
2023-06,Software,Fixed,1000
2023-06,Utilities,Variable,2000
