Date,SKU_ID,Quantity_Bought,Total_Paid
2023-01-01,SKU001,98,1496.46
2023-01-01,SKU002,511,4088.0
2023-01-01,SKU003,201,1981.86
2023-01-01,SKU004,289,566.44
2023-01-01,SKU005,51,5120.4
2023-02-01,SKU001,102,1500.42
2023-02-01,SKU002,523,4811.6
2023-02-01,SKU003,309,3052.92
2023-02-01,SKU004,290,571.3
2023-02-01,SKU005,49,4904.9
2023-03-01,SKU001,99,1472.13
2023-03-01,SKU002,505,5252.0
2023-03-01,SKU003,385,3819.2
2023-03-01,SKU004,295,590.0
2023-03-01,SKU005,51,5038.8
2023-04-01,SKU001,100,1506.0
2023-04-01,SKU002,477,5533.2
2023-04-01,SKU003,505,4984.35
2023-04-01,SKU004,286,583.44
2023-04-01,SKU005,52,5263.96
